Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price
01/01/2016,1,APXMIDP ,403.5,30.86
01/01/2016,1,N2EXMIDP,0,0
01/01/2016,2,APXMIDP ,411.45,32.71
01/01/2016,2,N2EXMIDP,0,0
01/01/2016,3,APXMIDP ,585.7,35.56
01/01/2016,3,N2EXMIDP,0,0
01/01/2016,4,APXMIDP ,508.5,36.08
01/01/2016,4,N2EXMIDP,0,0
01/01/2016,5,APXMIDP ,516.5,36.22
01/01/2016,5,N2EXMIDP,0,0
01/01/2016,6,APXMIDP ,505.8,35.46
01/01/2016,6,N2EXMIDP,0,0
01/01/2016,7,APXMIDP ,360.25,33.04
01/01/2016,7,N2EXMIDP,0,0
01/01/2016,8,APXMIDP ,363.7,33.26
01/01/2016,8,N2EXMIDP,0,0
01/01/2016,9,APXMIDP ,292.5,32.45
01/01/2016,9,N2EXMIDP,0,0
01/01/2016,10,APXMIDP ,341.8,34.83
01/01/2016,10,N2EXMIDP,0,0
01/01/2016,11,APXMIDP ,335.15,33.08
01/01/2016,11,N2EXMIDP,0,0
01/01/2016,12,APXMIDP ,542.8,37.57
01/01/2016,12,N2EXMIDP,0,0
01/01/2016,13,APXMIDP ,574.5,34.02
01/01/2016,13,N2EXMIDP,0,0
01/01/2016,14,APXMIDP ,478.55,33.1
01/01/2016,14,N2EXMIDP,0,0
01/01/2016,15,APXMIDP ,992.25,31.11
01/01/2016,15,N2EXMIDP,0,0
01/01/2016,16,APXMIDP ,830.6,30.67
01/01/2016,16,N2EXMIDP,0,0
01/01/2016,17,APXMIDP ,1022.35,25.15
01/01/2016,17,N2EXMIDP,0,0
01/01/2016,18,APXMIDP ,943.7,25.64
01/01/2016,18,N2EXMIDP,0,0
01/01/2016,19,APXMIDP ,898.1,27.55
01/01/2016,19,N2EXMIDP,0,0
01/01/2016,20,APXMIDP ,941.2,27.57
01/01/2016,20,N2EXMIDP,0,0
01/01/2016,21,APXMIDP ,986.1,28.46
01/01/2016,21,N2EXMIDP,0,0
01/01/2016,22,APXMIDP ,731.85,29.14
01/01/2016,22,N2EXMIDP,0,0
01/01/2016,23,APXMIDP ,406.45,35.85
01/01/2016,23,N2EXMIDP,0,0
01/01/2016,24,APXMIDP ,506.15,35.71
01/01/2016,24,N2EXMIDP,0,0
01/01/2016,25,APXMIDP ,588.75,38.75
01/01/2016,25,N2EXMIDP,0,0
01/01/2016,26,APXMIDP ,661.85,38.84
01/01/2016,26,N2EXMIDP,0,0
01/01/2016,27,APXMIDP ,797.85,39.74
01/01/2016,27,N2EXMIDP,0,0
01/01/2016,28,APXMIDP ,889.65,39.82
01/01/2016,28,N2EXMIDP,0,0
01/01/2016,29,APXMIDP ,893.8,38.74
01/01/2016,29,N2EXMIDP,0,0
01/01/2016,30,APXMIDP ,961.3,38.6
01/01/2016,30,N2EXMIDP,0,0
01/01/2016,31,APXMIDP ,856.35,43.8
01/01/2016,31,N2EXMIDP,0,0
01/01/2016,32,APXMIDP ,960.05,43.19
01/01/2016,32,N2EXMIDP,0,0
01/01/2016,33,APXMIDP ,823.8,44.32
01/01/2016,33,N2EXMIDP,0,0
01/01/2016,34,APXMIDP ,793.6,46.34
01/01/2016,34,N2EXMIDP,0,0
01/01/2016,35,APXMIDP ,716.6,50.3
01/01/2016,35,N2EXMIDP,0,0
01/01/2016,36,APXMIDP ,883.4,44.95
01/01/2016,36,N2EXMIDP,0,0
01/01/2016,37,APXMIDP ,1009.9,41.7
01/01/2016,37,N2EXMIDP,0,0
01/01/2016,38,APXMIDP ,1080,40.18
01/01/2016,38,N2EXMIDP,0,0
01/01/2016,39,APXMIDP ,964.5,32.37
01/01/2016,39,N2EXMIDP,0,0
01/01/2016,40,APXMIDP ,817.35,31.25
01/01/2016,40,N2EXMIDP,0,0
01/01/2016,41,APXMIDP ,773.5,30.86
01/01/2016,41,N2EXMIDP,0,0
01/01/2016,42,APXMIDP ,757,30.92
01/01/2016,42,N2EXMIDP,0,0
01/01/2016,43,APXMIDP ,808.95,31.61
01/01/2016,43,N2EXMIDP,0,0
01/01/2016,44,APXMIDP ,872.05,30.69
01/01/2016,44,N2EXMIDP,0,0
01/01/2016,45,APXMIDP ,1061.25,30.51
01/01/2016,45,N2EXMIDP,0,0
01/01/2016,46,APXMIDP ,1145.7,30.1
01/01/2016,46,N2EXMIDP,0,0
01/01/2016,47,APXMIDP ,508.25,29.84
01/01/2016,47,N2EXMIDP,0,0
01/01/2016,48,APXMIDP ,349.9,28.68
01/01/2016,48,N2EXMIDP,0,0
02/01/2016,1,APXMIDP ,484.6,28.9
02/01/2016,1,N2EXMIDP,0,0
02/01/2016,2,APXMIDP ,435.1,28.89
02/01/2016,2,N2EXMIDP,0,0
02/01/2016,3,APXMIDP ,471.7,28.03
02/01/2016,3,N2EXMIDP,0,0
02/01/2016,4,APXMIDP ,414.75,21.96
02/01/2016,4,N2EXMIDP,0,0
02/01/2016,5,APXMIDP ,506.45,21.51
02/01/2016,5,N2EXMIDP,0,0
