Settlement Date,Settlement Period,System Sell Price(GBP/MWh),System Buy Price(GBP/MWh),Net Imbalance Volume(MWh)
2019-01-01,1,15,15,-1058.307
2019-01-01,2,15,15,-664.288
2019-01-01,3,16,16,-1033.909
2019-01-01,4,16,16,-1319.343
2019-01-01,5,16,16,-1180.858
2019-01-01,6,15,15,-798.207
2019-01-01,7,15,15,-514.492
2019-01-01,8,30,30,-429.079
2019-01-01,9,15,15,-350.058
2019-01-01,10,15,15,-329.742
2019-01-01,11,15,15,-254.333
2019-01-01,12,15,15,-19.402
2019-01-01,13,63.5,63.5,127.891
2019-01-01,14,17.62,17.62,-263.485
2019-01-01,15,16.8,16.8,-1176.117
2019-01-01,16,16.8,16.8,-1123.154
2019-01-01,17,15,15,-1197.366
2019-01-01,18,30,30,-761.32
2019-01-01,19,30.1,30.1,-538.534
2019-01-01,20,40.15,40.15,-120.444
2019-01-01,21,67,67,215.304
2019-01-01,22,30.1,30.1,-183.877
2019-01-01,23,38,38,-193.124
2019-01-01,24,35,35,-524.425
2019-01-01,25,20,20,-634.388
2019-01-01,26,38,38,-354.812
2019-01-01,27,44.5,44.5,-116
2019-01-01,28,31.31,31.31,-186.896
2019-01-01,29,38,38,-196.376
2019-01-01,30,43,43,-284.76
2019-01-01,31,38,38,-413.061
2019-01-01,32,38,38,-311.19
2019-01-01,33,38,38,-265.411
2019-01-01,34,38,38,-88.317
2019-01-01,35,38,38,-33.411
2019-01-01,36,38,38,-154.653
2019-01-01,37,46,46,-17.069
2019-01-01,38,38,38,-12.088
2019-01-01,39,38,38,-222.263
2019-01-01,40,38,38,-236.19
2019-01-01,41,38,38,-344.359
2019-01-01,42,38,38,-550.223
2019-01-01,43,38,38,-369.681
2019-01-01,44,38,38,-378.254
2019-01-01,45,38,38,-210.445
2019-01-01,46,38,38,-293.43
2019-01-01,47,16,16,-347.086
2019-01-01,48,42.1,42.1,-415.507
2019-01-02,1,42,42,-705.556
2019-01-02,2,43.55,43.55,-285.29
2019-01-02,3,44.02,44.02,-95.172
2019-01-02,4,56,56,-76.046
2019-01-02,5,54,54,-16.499
2019-01-02,6,38,38,-120.183
2019-01-02,7,20,20,-264.333
2019-01-02,8,41.95,41.95,-375.72
2019-01-02,9,41.95,41.95,-467.809
2019-01-02,10,42.05,42.05,-306.741
2019-01-02,11,43,43,-173.474
2019-01-02,12,42.1,42.1,-381.16
2019-01-02,13,42.2,42.2,-488.921
2019-01-02,14,43.15,43.15,-521.315
2019-01-02,15,45,45,-438.134
2019-01-02,16,48,48,-455.707
2019-01-02,17,46,46,-737.739
2019-01-02,18,51.02,51.02,-244.403
2019-01-02,19,51.05,51.05,-78.185
2019-01-02,20,65,65,265.02
2019-01-02,21,87,87,176.895
2019-01-02,22,87,87,184.423
2019-01-02,23,92.8,92.8,101.908
2019-01-02,24,92.8,92.8,244.18
2019-01-02,25,100,100,225.679
2019-01-02,26,100,100,262.708
2019-01-02,27,98,98,307.703
2019-01-02,28,99.93,99.93,212.608
2019-01-02,29,99.93,99.93,137.386
2019-01-02,30,99.93,99.93,42.451
2019-01-02,31,51.5,51.5,-12.077
2019-01-02,32,51.25,51.25,-71.359
2019-01-02,33,156.5,156.5,132.701
2019-01-02,34,167,167,489.33
2019-01-02,35,158,158,412.781
2019-01-02,36,175,175,133.119
2019-01-02,37,52.75,52.75,-44.625
2019-01-02,38,51.25,51.25,-116.594
2019-01-02,39,100,100,43.84
2019-01-02,40,100,100,191.553
2019-01-02,41,106,106,250.525
2019-01-02,42,80,80,10.183
2019-01-02,43,80,80,88.204
2019-01-02,44,74.25,74.25,10.533
2019-01-02,45,72.5,72.5,19.389
2019-01-02,46,49,49,-317.697
2019-01-02,47,49.05,49.05,-80.141
2019-01-02,48,49.05,49.05,-21.096
2019-01-03,1,47.3,47.3,-199.04
2019-01-03,2,49.05,49.05,-129.636
2019-01-03,3,47.3,47.3,-176.15
2019-01-03,4,47.3,47.3,-345.701
2019-01-03,5,20,20,-181.29
2019-01-03,6,20,20,-257.458
2019-01-03,7,49.05,49.05,-230.21
2019-01-03,8,47.3,47.3,-364.375
2019-01-03,9,48.05,48.05,-331.456
2019-01-03,10,48.05,48.05,-254.942
2019-01-03,11,49.05,49.05,-335.15
2019-01-03,12,48.05,48.05,-844.344
2019-01-03,13,49.06,49.06,-471.886
2019-01-03,14,48.5,48.5,-838.918
2019-01-03,15,48.05,48.05,-1247.903
2019-01-03,16,48.05,48.05,-1181.389
2019-01-03,17,49.05,49.05,-1016.995
2019-01-03,18,50.05,50.05,-515.353
2019-01-03,19,52.3,52.3,-24.795
2019-01-03,20,60,60,68.347
2019-01-03,21,96.6967,96.6967,23.733
2019-01-03,22,100,100,66.676
2019-01-03,23,115,115,409.027
2019-01-03,24,115,115,429.404
2019-01-03,25,115,115,174.5
2019-01-03,26,112.9,112.9,250.09
2019-01-03,27,112.9,112.9,103.78
2019-01-03,28,60,60,49.437
2019-01-03,29,60,60,53.985
2019-01-03,30,112.9,112.9,125.833
2019-01-03,31,112.9,112.9,2.703
2019-01-03,32,53,53,-239.717
2019-01-03,33,0,0,-346.874
2019-01-03,34,0,0,-716.756
2019-01-03,35,50.11,50.11,-537.868
2019-01-03,36,50.4,50.4,-479.755
2019-01-03,37,51.2,51.2,-482.717
2019-01-03,38,53.75,53.75,-359.728
2019-01-03,39,55,55,-17.101
2019-01-03,40,53.77,53.77,-32.448
2019-01-03,41,110,110,98.875
2019-01-03,42,50.4,50.4,-226.483
2019-01-03,43,50.55,50.55,-254.954
2019-01-03,44,49.6,49.6,-431.744
2019-01-03,45,49.9,49.9,-373.006
2019-01-03,46,50.05,50.05,-395.689
2019-01-03,47,50.05,50.05,-269.212
2019-01-03,48,50.05,50.05,-210.335
2019-01-04,1,50.05,50.05,-340.86
2019-01-04,2,49.1,49.1,-404.449
2019-01-04,3,48.75,48.75,-346.991
2019-01-04,4,48.75,48.75,-313.242
2019-01-04,5,48.75,48.75,-520.897
2019-01-04,6,48.75,48.75,-579.16
2019-01-04,7,49.05,49.05,-279.699
2019-01-04,8,48,48,-367.206
2019-01-04,9,48,48,-458.99
2019-01-04,10,48,48,-422.255
2019-01-04,11,47.3,47.3,-672.332
2019-01-04,12,45,45,-833.74
2019-01-04,13,45,45,-873.279
2019-01-04,14,39,39,-1341.836
2019-01-04,15,39,39,-1427.157
2019-01-04,16,45.9,45.9,-1200.818
2019-01-04,17,47.3,47.3,-1185.34
2019-01-04,18,47.3,47.3,-769.8
2019-01-04,19,49.5,49.5,-268.961
2019-01-04,20,51.1,51.1,-44.202
2019-01-04,21,84,84,36.496
2019-01-04,22,51.25,51.25,-18.363
2019-01-04,23,50.4,50.4,-357.967
2019-01-04,24,50.4,50.4,-348.737
2019-01-04,25,50.15,50.15,-151.138
2019-01-04,26,50.71138,50.71138,-233.738
2019-01-04,27,53.75,53.75,-169.672
2019-01-04,28,53.75,53.75,-241.808
2019-01-04,29,53.77,53.77,-132.346
2019-01-04,30,51.25,51.25,-320.67
2019-01-04,31,53.75,53.75,-294.915
2019-01-04,32,53.77,53.77,-178.049
2019-01-04,33,48.3,48.3,-511.431
2019-01-04,34,52.6,52.6,-262.131
2019-01-04,35,0,0,-330.77
2019-01-04,36,51.15,51.15,-238.143
