Date,Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
27/03/2001,DF,2.767,6.232,5.930,0.610,0.128,-9.973,28.287,38.182,24.440,-50.000,-146.430,-36.753,-2.502,1.481,-5.360,0.002,12.000,6.795,12.656,13.899,14.709,10.500,10.800,13.800,9.990,-25.373,4.210,-1.000,18.390,9.800,18.390,9.800,6.314,4.005,0.000,6.777,7.961,3.492,6.425,8.547,7.904,0.786,0.138,8.456,9.606,10.545,9.813,10.102,,
28/03/2001,DF,10.007,10.856,9.287,9.044,4.449,-100.000,4.000,15.250,15.250,9.817,21.732,16.726,9.535,8.382,2.554,-1.810,13.672,12.314,10.049,9.961,11.765,9.959,11.033,11.090,10.245,12.000,12.094,12.181,12.374,12.399,15.250,6.000,5.832,10.932,9.384,9.855,9.420,10.066,10.823,9.061,0.000,13.353,6.996,10.182,9.245,18.207,3.578,6.165,,
29/03/2001,DF,6.434,6.894,7.223,1.998,15.250,-100.000,15.250,15.250,15.250,4.667,10.000,-50.000,5.657,-1.347,-8.182,4.438,6.005,12.024,12.870,12.274,11.460,11.322,11.579,11.493,11.400,11.636,11.371,11.261,10.060,10.512,10.050,4.852,-10.502,9.434,-41.818,1.782,8.813,8.030,7.294,-6.257,-26.565,-3.207,-5.366,-11.889,-15.810,-18.285,1.493,0.147,,
30/03/2001,DF,3.924,5.815,5.930,-0.101,-15.307,-20.252,-11.016,15.250,9.800,15.250,15.250,8.118,5.787,0.801,1.167,4.139,10.751,7.493,8.178,10.908,12.197,11.104,10.566,8.952,-6.123,4.908,6.706,4.243,6.357,-1.983,3.245,3.171,2.920,3.240,-6.653,-7.720,-6.077,-1.854,3.983,2.908,4.363,-66.184,-9.436,-8.258,-10.156,-10.471,-9.163,-5.024,,
31/03/2001,DF,-12.441,-10.119,2.479,5.996,7.205,10.629,7.192,5.972,5.835,5.435,4.819,0.507,2.158,3.609,-0.782,6.232,4.738,2.577,1.688,-2.192,1.854,4.400,0.657,5.211,9.403,14.743,12.429,8.693,8.590,8.171,8.011,6.385,7.148,8.316,4.922,4.268,3.777,6.539,-2.015,-4.368,9.356,8.023,9.029,6.970,9.531,-8.503,-27.237,-26.899,,
01/04/2001,DF,-9.442,-16.299,-9.068,8.845,8.417,8.692,-15.771,-33.039,9.412,7.636,12.483,11.584,9.261,0.990,-3.337,-1.518,-3.621,1.972,6.385,5.682,3.323,5.618,7.478,6.874,6.272,8.662,6.250,4.128,3.362,4.353,5.420,5.710,5.157,3.507,-11.303,-3.500,6.353,7.368,-6.851,7.705,5.777,5.779,4.900,3.470,3.118,1.624,-0.552,0.817,,
02/04/2001,DF,-0.526,-10.917,-19.576,3.829,0.707,6.830,4.618,1.369,-5.363,-9.825,-100.772,-71.305,-3.236,-0.651,6.850,5.971,6.418,4.638,-46.737,-25.688,-21.791,-13.241,-37.019,-48.743,-48.985,-46.539,-32.561,-3.002,5.063,5.179,4.314,3.797,1.995,3.831,1.449,0.457,3.373,3.244,4.075,2.163,2.925,4.079,0.341,-0.334,3.805,6.745,4.134,9.332,,
03/04/2001,DF,1.296,-6.255,-4.768,6.409,8.280,-7.657,5.025,-15.325,1.717,4.131,2.943,-15.650,5.300,6.195,10.156,12.496,10.536,4.360,1.973,6.418,7.599,7.958,7.552,7.347,7.346,8.068,8.509,7.433,5.694,5.357,5.398,5.954,6.623,9.256,10.677,6.970,7.709,9.931,5.537,5.678,5.801,3.819,4.553,2.707,-1.066,4.680,2.546,-0.354,,
04/04/2001,DF,0.797,-13.791,-13.591,4.345,-12.877,7.450,8.870,8.488,7.214,4.591,-53.597,-4.223,0.127,0.583,1.210,4.718,9.181,9.194,9.303,9.861,10.115,10.417,12.695,13.266,12.974,12.435,11.601,11.076,12.396,12.276,12.139,12.287,12.492,12.616,11.468,10.189,8.322,7.108,6.575,2.244,-5.945,3.959,-0.146,4.533,3.646,-0.884,-1.910,0.739,,
05/04/2001,DF,2.477,-23.481,7.792,8.434,-0.368,9.975,7.558,6.594,6.189,7.184,-6.576,-5.347,7.889,-7.691,18.875,16.931,18.383,12.148,-35.956,15.088,13.862,13.695,13.671,10.909,13.928,15.466,16.994,15.200,14.354,18.036,17.894,18.035,18.036,17.930,17.163,14.992,14.946,13.566,-64.953,13.534,-105.209,-23.671,12.777,-23.875,-69.376,-48.123,9.623,8.426,,
06/04/2001,DF,-58.903,-50.259,7.275,9.049,8.739,-4.628,2.538,0.883,0.612,0.408,0.348,4.161,6.626,7.465,4.936,-108.675,10.707,10.162,10.496,9.802,1.744,8.108,11.025,11.136,9.223,5.927,9.327,9.323,9.894,9.816,12.011,13.123,10.504,14.274,10.184,6.459,10.005,8.024,10.003,8.010,9.064,12.015,8.808,8.446,0.191,-17.020,8.566,-1.522,,
07/04/2001,DF,-7.954,-6.784,-1.307,0.145,0.303,4.226,-0.154,-3.952,-14.723,-9.357,-183.000,-20.000,-6.229,9.013,9.734,9.241,6.000,-7.548,-32.594,4.675,10.231,9.767,9.909,9.954,10.171,10.528,11.184,12.400,9.819,9.562,9.762,9.202,8.654,9.948,9.081,8.871,8.000,9.282,8.096,8.199,4.630,9.385,-9.681,-13.745,-10.574,-7.213,4.272,-4.489,,
08/04/2001,DF,-14.690,-7.326,6.180,-20.000,-19.980,-1.000,12.400,-29.980,-29.980,-29.980,-29.980,-5.192,-1.295,2.009,0.718,3.829,9.168,7.817,7.853,7.381,16.636,-434.875,7.528,9.649,8.485,9.960,10.006,9.891,9.557,9.392,10.035,9.632,9.102,8.111,4.398,4.234,12.400,0.000,12.400,-349.883,5.835,5.588,-4.351,0.875,-0.380,-3.940,-2.697,-7.637,,
