Settlement Date,Settlement Period,System Sell Price(GBP/MWh),System Buy Price(GBP/MWh),Net Imbalance Volume(MWh)
01/01/2019,1,15,15,-1058.307
01/01/2019,2,15,15,-664.288
01/01/2019,3,16,16,-1033.909
01/01/2019,4,16,16,-1319.343
01/01/2019,5,16,16,-1180.858
01/01/2019,6,15,15,-798.207
01/01/2019,7,15,15,-514.492
01/01/2019,8,30,30,-429.079
01/01/2019,9,15,15,-350.058
01/01/2019,10,15,15,-329.742
01/01/2019,11,15,15,-254.333
01/01/2019,12,15,15,-19.402
01/01/2019,13,63.5,63.5,127.891
01/01/2019,14,17.62,17.62,-263.485
01/01/2019,15,16.8,16.8,-1176.117
01/01/2019,16,16.8,16.8,-1123.154
01/01/2019,17,15,15,-1197.366
01/01/2019,18,30,30,-761.32
01/01/2019,19,30.1,30.1,-538.534
01/01/2019,20,40.15,40.15,-120.444
01/01/2019,21,67,67,215.304
01/01/2019,22,30.1,30.1,-183.877
01/01/2019,23,38,38,-193.124
01/01/2019,24,35,35,-524.425
01/01/2019,25,20,20,-634.388
01/01/2019,26,38,38,-354.812
01/01/2019,27,44.5,44.5,-116
01/01/2019,28,31.31,31.31,-186.896
01/01/2019,29,38,38,-196.376
01/01/2019,30,43,43,-284.76
01/01/2019,31,38,38,-413.061
01/01/2019,32,38,38,-311.19
01/01/2019,33,38,38,-265.411
01/01/2019,34,38,38,-88.317
01/01/2019,35,38,38,-33.411
01/01/2019,36,38,38,-154.653
01/01/2019,37,46,46,-17.069
01/01/2019,38,38,38,-12.088
01/01/2019,39,38,38,-222.263
01/01/2019,40,38,38,-236.19
01/01/2019,41,38,38,-344.359
01/01/2019,42,38,38,-550.223
01/01/2019,43,38,38,-369.681
01/01/2019,44,38,38,-378.254
01/01/2019,45,38,38,-210.445
01/01/2019,46,38,38,-293.43
01/01/2019,47,16,16,-347.086
01/01/2019,48,42.1,42.1,-415.507
02/01/2019,1,42,42,-705.556
02/01/2019,2,43.55,43.55,-285.29
02/01/2019,3,44.02,44.02,-95.172
02/01/2019,4,56,56,-76.046
02/01/2019,5,54,54,-16.499
02/01/2019,6,38,38,-120.183
02/01/2019,7,20,20,-264.333
02/01/2019,8,41.95,41.95,-375.72
02/01/2019,9,41.95,41.95,-467.809
02/01/2019,10,42.05,42.05,-306.741
02/01/2019,11,43,43,-173.474
02/01/2019,12,42.1,42.1,-381.16
02/01/2019,13,42.2,42.2,-488.921
02/01/2019,14,43.15,43.15,-521.315
02/01/2019,15,45,45,-438.134
02/01/2019,16,48,48,-455.707
02/01/2019,17,46,46,-737.739
02/01/2019,18,51.02,51.02,-244.403
02/01/2019,19,51.05,51.05,-78.185
02/01/2019,20,65,65,265.02
02/01/2019,21,87,87,176.895
02/01/2019,22,87,87,184.423
02/01/2019,23,92.8,92.8,101.908
02/01/2019,24,92.8,92.8,244.18
02/01/2019,25,100,100,225.679
02/01/2019,26,100,100,262.708
02/01/2019,27,98,98,307.703
02/01/2019,28,99.93,99.93,212.608
02/01/2019,29,99.93,99.93,137.386
02/01/2019,30,99.93,99.93,42.451
02/01/2019,31,51.5,51.5,-12.077
